generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat
185,0.022193696349859238,0.02457127720117569,4,0,4,1.0,-0.0022193696349859238,-0.002457127906382084,28,0.95,0.5600000023841858,0.6899999976158142,0.7599999904632568,0.6200000047683716
186,0.021101217716932297,0.02440129965543747,4,0,4,1.0,-0.0021101217716932297,-0.002440130105242133,29,0.95,0.5199999809265137,0.699999988079071,0.75,0.6499999761581421
187,0.021101217716932297,0.024294434115290642,4,0,4,1.0,-0.0021101217716932297,-0.0024377000518143177,30,0.95,0.5199999809265137,0.699999988079071,0.75,0.6499999761581421
188,0.021101217716932297,0.02423251047730446,4,0,4,1.0,-0.0021101217716932297,-0.002429443411529064,31,0.95,0.5199999809265137,0.699999988079071,0.75,0.6499999761581421
189,0.021101217716932297,0.024215156212449074,4,0,4,1.0,-0.0021101217716932297,-0.002423251047730446,32,0.95,0.5199999809265137,0.699999988079071,0.75,0.6499999761581421
190,0.021101217716932297,0.02406270056962967,4,0,4,1.0,-0.0021101217716932297,-0.0024067710619419813,33,0.95,0.5199999809265137,0.699999988079071,0.75,0.6499999761581421
191,0.021101217716932297,0.024012446403503418,4,0,4,1.0,-0.0021101217716932297,-0.0024012448266148567,33,0.95,0.5199999809265137,0.699999988079071,0.75,0.6499999761581421
192,0.019424792379140854,0.02389906905591488,4,0,4,1.0,-0.0019424792844802141,-0.002389906905591488,34,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
193,0.019424792379140854,0.023667719215154648,4,0,4,1.0,-0.0019424792844802141,-0.0023761331103742123,35,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
194,0.019424792379140854,0.023593520745635033,4,0,4,1.0,-0.0019424792844802141,-0.0023593520745635033,36,0.95,0.5199999809265137,0.6800000071525574,0.7599999904632568,0.6399999856948853
